,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
2015-06-30,2063.11,,2015-06-30,1143.55603,,2015-06-30,912.40118,,2015-06-30,204.183,,2015-06-30,380.373,,2015-06-30,5893.61,,2015-06-30,1782.60999
2015-05-29,2107.39,,2015-05-29,1167.62,,2015-05-29,932.40997,,2015-05-29,210.862,,2015-05-29,387.99,,2015-05-29,6015.63,,2015-05-29,1814.67004
2015-04-30,2085.51,,2015-04-30,1149.31995,,2015-04-30,928.27002,,2015-04-30,204.718,,2015-04-30,380.831,,2015-04-30,5974.04,,2015-04-30,1790.88
2015-03-31,2067.89,,2015-03-31,1144.68994,,2015-03-31,915.87,,2015-03-31,210.96,,2015-03-31,382.311,,2015-03-31,6103.08,,2015-03-31,1806.32996
2015-02-27,2104.5,,2015-02-27,1165.83997,,2015-02-27,931.28003,,2015-02-27,213.729,,2015-02-27,388.331,,2015-02-27,6141.1,,2015-02-27,1827.54004
2015-01-30,1994.99,,2015-01-30,1102.13,,2015-01-30,885.53003,,2015-01-30,200.681,,2015-01-30,366.659,,2015-01-30,6066.28,,2015-01-30,1744.46899
2014-12-31,2058.9,,2014-12-31,1121.62,,2014-12-31,927.96997,,2014-12-31,204.637,,2014-12-31,376.443,,2014-12-31,6099.63,,2014-12-31,1793.55005
2014-11-28,2067.56,,2014-11-28,1134.04004,,2014-11-28,924.77002,,2014-11-28,207.183,,2014-11-28,375.612,,2014-11-28,6044,,2014-11-28,1790.80005
2014-10-31,2018.05,,2014-10-31,1102.83997,,2014-10-31,906.41998,,2014-10-31,201.852,,2014-10-31,362.661,,2014-10-31,5890.65,,2014-10-31,1723.43994
2014-09-30,1972.29,,2014-09-30,1072.23206,,2014-09-30,891.10999,,2014-09-30,199.719,,2014-09-30,350.489,,2014-09-30,5621.38,,2014-09-30,1650.35999
2014-08-29,2003.37,,2014-08-29,1085.31006,,2014-08-29,908.71997,,2014-08-29,199.519,,2014-08-29,356.068,,2014-08-29,5684.93,,2014-08-29,1652.42004
2014-07-31,1930.67,,2014-07-31,1042.17004,,2014-07-31,879.22998,,2014-07-31,191.845,,2014-07-31,340.009,,2014-07-31,5492.15,,2014-07-31,1588.68994
2014-06-30,1960.23,,2014-06-30,1056.20996,,2014-06-30,894.46997,,2014-06-30,192.769,,2014-06-30,343.889,,2014-06-30,5718.04,,2014-06-30,1632.53003
2014-05-30,1923.57,,2014-05-30,1036.12,,2014-05-30,878.04999,,2014-05-30,189.89,,2014-05-30,339.092,,2014-05-30,5611.38,,2014-05-30,1609.58997
2014-04-30,1883.95,,2014-04-30,1004.47998,,2014-04-30,869.48999,,2014-04-30,182.63,,2014-04-30,333.021,,2014-04-30,5569.95,,2014-04-30,1583.66003
2014-03-31,1872.34,,2014-03-31,1002.33002,,2014-03-31,860.39001,,2014-03-31,184.841,,2014-03-31,331.363,,2014-03-31,5468.8,,2014-03-31,1564.78003
2014-02-28,1859.45,,2014-02-28,1010.95001,,2014-02-28,840.16998,,2014-02-28,186.477,,2014-02-28,330.621,,2014-02-28,5371.08,,2014-02-28,1548.64001
2014-01-31,1782.59,,2014-01-31,962.58752,,2014-01-31,811.48828,,2014-01-31,178.581,,2014-01-31,315.203,,2014-01-31,5192.16,,2014-01-31,1478.19995
2013-12-31,1848.36,,2013-12-31,992.47198,,2013-12-31,846.60168,,2013-12-31,184.689,,2013-12-31,329.395,,2013-12-31,5332.49,,2013-12-31,1549.38
2013-11-29,1805.81,,2013-11-29,967.70728,,2013-11-29,828.9079,,2013-11-29,181.596,,2013-11-29,321.858,,2013-11-29,5288.59,,2013-11-29,1517.63
2013-10-31,1756.54,,2013-10-31,939.29999,,2013-10-31,808.15002,,2013-10-31,173.31,,2013-10-31,311.853,,2013-10-31,5239.91,,2013-10-31,1489.79004
2013-09-30,1681.55,,2013-09-30,897,,2013-09-30,775.69,,2013-09-30,167.044,,2013-09-30,299.981,,2013-09-30,5019.44,,2013-09-30,1417.22595
2013-08-30,1632.97,,2013-08-30,865.67828,,2013-08-30,758.26398,,2013-08-30,161.558,,2013-08-30,289.496,,2013-08-30,4936.03,,2013-08-30,1367.42603
2013-07-31,1685.73,,2013-07-31,887.37,,2013-07-31,788.53998,,2013-07-31,167.197,,2013-07-31,299.326,,2013-07-31,5202.55,,2013-07-31,1421.92603
2013-06-28,1606.28,,2013-06-28,845.37,,2013-06-28,751.53998,,2013-06-28,159.493,,2013-06-28,285.767,,2013-06-28,4999.89,,2013-06-28,1344.01404
2013-05-31,1630.74,,2013-05-31,861.71002,,2013-05-31,759.78998,,2013-05-31,161.675,,2013-05-31,291.36,,2013-05-31,4983.73,,2013-05-31,1355.48499
2013-04-30,1597.57,,2013-04-30,845.03998,,2013-04-30,743.53003,,2013-04-30,157.644,,2013-04-30,283.566,,2013-04-30,5177.29,,2013-04-30,1345.66895
2013-03-29,1569.19,,2013-03-29,828.71002,,2013-03-29,731.53998,,2013-03-29,154.828,,2013-03-29,279.385,,2013-03-29,4992.23,,2013-03-29,1317.953
2013-02-28,1514.68,,2013-02-28,799.64001,,2013-02-28,706.38,,2013-02-28,148.889,,2013-02-28,266.202,,2013-02-28,4774.38,,2013-02-28,1261.33203
2013-01-31,1498.11,,2013-01-31,790.73999,,2013-01-31,698.81,,2013-01-31,146.122,,2013-01-31,261.735,,2013-01-31,4663.64,,2013-01-31,1230.52197
2012-12-31,1426.19,,2012-12-31,761.33002,,2012-12-31,657.37,,2012-12-31,141.205,,2012-12-31,246.923,,2012-12-31,4446.98,,2012-12-31,1171.34399
2012-11-30,1416.18,,2012-11-30,763.71112,,2012-11-30,644.90973,,2012-11-30,144.072,,2012-11-30,244.891,,2012-11-30,4486,,2012-11-30,1172.81702
2012-10-31,1412.16,,2012-10-31,758.81042,,2012-10-31,645.82452,,2012-10-31,142.982,,2012-10-31,241.867,,2012-10-31,4513.38,,2012-10-31,1150.42004
2012-09-28,1440.67,,2012-09-28,781.52197,,2012-09-28,651.43573,,2012-09-28,145.996,,2012-09-28,246.466,,2012-09-28,4525.05,,2012-09-28,1153.82996
2012-08-31,1406.58,,2012-08-31,766.25189,,2012-08-31,632.76868,,2012-08-31,142.888,,2012-08-31,241.459,,2012-08-31,4461.64,,2012-08-31,1123.95996
2012-07-31,1379.32,,2012-07-31,751.02032,,2012-07-31,620.89673,,2012-07-31,141.09,,2012-07-31,237.239,,2012-07-31,4516.48,,2012-07-31,1108.58997
2012-06-29,1362.16,,2012-06-29,738.18927,,2012-06-29,616.68878,,2012-06-29,139.601,,2012-06-29,236.816,,2012-06-29,4430.93,,2012-06-29,1090.83997
2012-05-31,1310.33,,2012-05-31,713.19849,,2012-05-31,590.09021,,2012-05-31,136.259,,2012-05-31,228.142,,2012-05-31,4265.94,,2012-05-31,1052.95996
2012-04-30,1397.91,,2012-04-30,756.33618,,2012-04-30,634.08398,,2012-04-30,141.736,,2012-04-30,245.133,,2012-04-30,4349.95,,2012-04-30,1091.55005
2012-03-30,1408.47,,2012-03-30,757.27649,,2012-03-30,643.67822,,2012-03-30,139.81,,2012-03-30,245.828,,2012-03-30,4309.78,,2012-03-30,1083.62
2012-02-29,1365.68,,2012-02-29,734.64191,,2012-02-29,623.76068,,2012-02-29,133.491,,2012-02-29,238.553,,2012-02-29,4203.77,,2012-02-29,1052.69995
2012-01-31,1312.41,,2012-01-31,704.96777,,2012-01-31,600.45227,,2012-01-31,126.412,,2012-01-31,229.157,,2012-01-31,4141.42,,2012-01-31,1029.34998
2011-12-30,1257.61,,2011-12-30,677.63202,,2011-12-30,573.26221,,2011-12-30,121.132,,2011-12-30,216.842,,2011-12-30,4167.88,,2011-12-30,1001.63
2011-11-30,1246.96,,2011-11-30,676.26031,,2011-11-30,564.18512,,2011-11-30,120.907,,2011-11-30,215.405,,2011-11-30,4054,,2011-11-30,985.78998
2011-10-31,1253.3,,2011-10-31,678.82349,,2011-10-31,567.86969,,2011-10-31,120.81,,2011-10-31,215.049,,2011-10-31,4022.67,,2011-10-31,965.28998
2011-09-30,1131.42,,2011-09-30,614.52832,,2011-09-30,511.0242,,2011-09-30,109.345,,2011-09-30,196.987,,2011-09-30,3804.95,,2011-09-30,886.89001
2011-08-31,1218.89,,2011-08-31,658.94562,,2011-08-31,553.37769,,2011-08-31,118.62,,2011-08-31,207.161,,2011-08-31,3901.84,,2011-08-31,938.02002
2011-07-29,1292.28,,2011-07-29,693.27643,,2011-07-29,591.66779,,2011-07-29,126.898,,2011-07-29,214.613,,2011-07-29,3909.37,,2011-07-29,951.90997
2011-06-30,1320.64,,2011-06-30,698.02148,,2011-06-30,614.38849,,2011-06-30,128.964,,2011-06-30,217.138,,2011-06-30,4011.61,,2011-06-30,988.97998
2011-05-31,1345.2,,2011-05-31,707.83917,,2011-05-31,628.75348,,2011-05-31,129.637,,2011-05-31,217.098,,2011-05-31,4075.68,,2011-05-31,997.71002
2011-04-29,1363.61,,2011-04-29,712.33569,,2011-04-29,642.1853,,2011-04-29,132.23,,2011-04-29,215.851,,2011-04-29,4010.11,,2011-04-29,995.03003
2011-03-31,1325.83,,2011-03-31,689.70782,,2011-03-31,627.06818,,2011-03-31,129.017,,2011-03-31,204.892,,2011-03-31,3862.87,,2011-03-31,961.54999
2011-02-28,1327.22,,2011-02-28,688.65863,,2011-02-28,629.37988,,2011-02-28,126.856,,2011-02-28,204.797,,2011-02-28,3827.17,,2011-02-28,954.15997
2011-01-31,1286.12,,2011-01-31,668.66357,,2011-01-31,608.64099,,2011-01-31,121.771,,2011-01-31,198.142,,2011-01-31,3739.41,,2011-01-31,921.48999
2010-12-31,1257.64,,2010-12-31,659.13428,,2010-12-31,590.22479,,2010-12-31,119.801,,2010-12-31,196.879,,2010-12-31,3758.77,,2010-12-31,924.63
2010-11-30,1180.55,,2010-11-30,627.13751,,2010-11-30,546.32562,,2010-11-30,114.539,,2010-11-30,189.11,,2010-11-30,3598.27,,2010-11-30,876.47998
2010-10-29,1183.26,,2010-10-29,625.49408,,2010-10-29,550.37158,,2010-10-29,112.568,,2010-10-29,188.998,,2010-10-29,3662.14,,2010-10-29,879.46997
2010-09-30,1141.2,,2010-09-30,596.17139,,2010-09-30,537.25293,,2010-09-30,107.497,,2010-09-30,181.73,,2010-09-30,3582.79,,2010-09-30,864.32001
2010-08-31,1049.33,,2010-08-31,542.06079,,2010-08-31,499.564,,2010-08-31,96.428,,2010-08-31,166.419,,2010-08-31,3407.36,,2010-08-31,793.59003
2010-07-30,1101.6,,2010-07-30,567.85492,,2010-07-30,525.54199,,2010-07-30,102.497,,2010-07-30,173.243,,2010-07-30,3438.75,,2010-07-30,813.39001
2010-06-30,1030.71,,2010-06-30,531.54041,,2010-06-30,491.51889,,2010-06-30,94.744,,2010-06-30,164.486,,2010-06-30,3281.67,,2010-06-30,756.54999
2010-05-31,1089.41,,2010-05-31,558.66309,,2010-05-31,522.3927,,2010-05-31,102.245,,2010-05-31,171.557,,2010-05-31,3335.83,,2010-05-31,791.59003
2010-04-30,1186.69,,2010-04-30,608.70862,,2010-04-30,568.89838,,2010-04-30,111.221,,2010-04-30,185.825,,2010-04-30,3529.67,,2010-04-30,847.56
2010-03-31,1169.43,,2010-03-31,601.57172,,2010-03-31,559.05872,,2010-03-31,108.818,,2010-03-31,184.526,,2010-03-31,3508.74,,2010-03-31,829.91998
2010-02-26,1104.49,,2010-02-26,569.86023,,2010-02-26,526.46802,,2010-02-26,101.803,,2010-02-26,173.805,,2010-02-26,3388.55,,2010-02-26,787.35999
2010-01-29,1073.87,,2010-01-29,551.93182,,2010-01-29,513.83362,,2010-01-29,96.936,,2010-01-29,168.607,,2010-01-29,3337.93,,2010-01-29,766.23999
2009-12-31,1115.1,,2009-12-31,582.37,,2009-12-31,525.07312,,2009-12-31,101.228,,2009-12-31,172.456,,2009-12-31,3423.49,,2009-12-31,774.71997
2009-11-30,1095.63,,2009-11-30,570.82959,,2009-11-30,517.01538,,2009-11-30,97.192,,2009-11-30,168.925,,2009-11-30,3327.43,,2009-11-30,766.60999
2009-10-30,1036.2,,2009-10-30,540.90503,,2009-10-30,487.90189,,2009-10-30,91.799,,2009-10-30,159.44,,2009-10-30,3148.47,,2009-10-30,725.51001
2009-09-30,1057.08,,2009-09-30,542.64319,,2009-09-30,507.0737,,2009-09-30,93.318,,2009-09-30,161.935,,2009-09-30,3171.11,,2009-09-30,733.62
2009-08-31,1020.63,,2009-08-31,520.91168,,2009-08-31,492.6759,,2009-08-31,91.757,,2009-08-31,156.501,,2009-08-31,3096.46,,2009-08-31,705.12
2009-07-31,987.48,,2009-07-31,512.09003,,2009-07-31,468.36911,,2009-07-31,91.333,,2009-07-31,152.019,,2009-07-31,3044.24,,2009-07-31,677.62
2009-06-30,919.32,,2009-06-30,479.82431,,2009-06-30,432.8851,,2009-06-30,86.949,,2009-06-30,143.984,,2009-06-30,2926.89,,2009-06-30,614.97998
2009-05-29,919.14,,2009-05-29,476.45929,,2009-05-29,436.17389,,2009-05-29,85.861,,2009-05-29,142.064,,2009-05-29,2854.38,,2009-05-29,619.34998
2009-04-30,872.81,,2009-04-30,455.26721,,2009-04-30,411.21179,,2009-04-30,82.693,,2009-04-30,136.481,,2009-04-30,2779.48,,2009-04-30,598.14001
2009-03-31,797.87,,2009-03-31,420.66241,,2009-03-31,371.23611,,2009-03-31,82.176,,2009-03-31,126.021,,2009-03-31,2673.74,,2009-03-31,533.16998
2009-02-27,735.09,,2009-02-27,390.5759,,2009-02-27,338.88849,,2009-02-27,77.148,,2009-02-27,115.234,,2009-02-27,2565.68,,2009-02-27,484.12
2009-01-30,825.88,,2009-01-30,428.20691,,2009-01-30,391.81769,,2009-01-30,83.953,,2009-01-30,125.709,,2009-01-30,2871.06,,2009-01-30,544.02002
2008-12-31,903.25,,2008-12-31,450.54501,,2008-12-31,447.10669,,2008-12-31,86.842,,2008-12-31,133.27,,2008-12-31,2963.63,,2008-12-31,612.15002
2008-11-28,896.24,,2008-11-28,446.01169,,2008-11-28,444.7937,,2008-11-28,86.282,,2008-11-28,130.989,,2008-11-28,2922.5,,2008-11-28,614.03003
2008-10-31,968.75,,2008-10-31,473.53519,,2008-10-31,490.64081,,2008-10-31,92.254,,2008-10-31,139.878,,2008-10-31,3035.12,,2008-10-31,636
2008-09-30,1166.36,,2008-09-30,567.75043,,2008-09-30,593.47949,,2008-09-30,107.301,,2008-09-30,167.119,,2008-09-30,3488.89,,2008-09-30,732.63
2008-08-29,1282.83,,2008-08-29,632.47101,,2008-08-29,643.37341,,2008-08-29,121.196,,2008-08-29,182.129,,2008-08-29,3648.9,,2008-08-29,748.17999
2008-07-31,1267.38,,2008-07-31,623.98828,,2008-07-31,636.60962,,2008-07-31,120.873,,2008-07-31,177.251,,2008-07-31,3544.23,,2008-07-31,725.64001
2008-06-30,1280,,2008-06-30,641.84021,,2008-06-30,629.52869,,2008-06-30,130.268,,2008-06-30,178.886,,2008-06-30,3449.94,,2008-06-30,698.60999
2008-05-30,1400.38,,2008-05-30,682.79901,,2008-05-30,711.11133,,2008-05-30,135.253,,2008-05-30,194.162,,2008-05-30,3696.56,,2008-05-30,777.08002
2008-04-30,1385.59,,2008-04-30,668.07172,,2008-04-30,712.25232,,2008-04-30,129.821,,2008-04-30,191.732,,2008-04-30,3629.17,,2008-04-30,771.78998
2008-03-31,1322.7,,2008-03-31,630.95062,,2008-03-31,687.77417,,2008-03-31,121.101,,2008-03-31,182.311,,2008-03-31,3564.6,,2008-03-31,746.82001
2008-02-29,1330.63,,2008-02-29,633.97229,,2008-02-29,692.73743,,2008-02-29,117.998,,2008-02-29,185.658,,2008-02-29,3573.79,,2008-02-29,743.70001
2008-01-31,1378.55,,2008-01-31,643.45178,,2008-01-31,732.9693,,2008-01-31,119.836,,2008-01-31,189.234,,2008-01-31,3677.19,,2008-01-31,771.58002
2007-12-31,1468.36,,2007-12-31,702.66302,,2007-12-31,760.9519,,2007-12-31,133.318,,2007-12-31,203.412,,2007-12-31,3879.39,,2007-12-31,783.60999
2007-11-30,1481.14,,2007-11-30,702.25378,,2007-11-30,774.93738,,2007-11-30,131.466,,2007-11-30,201.416,,2007-11-30,3929.24,,2007-11-30,808.07001
2007-10-31,1549.38,,2007-10-31,729.1604,,2007-10-31,816.74011,,2007-10-31,138.61,,2007-10-31,209.167,,2007-10-31,4011.99,,2007-10-31,824.12
2007-09-28,1526.75,,2007-09-28,714.30341,,2007-09-28,809.5365,,2007-09-28,133.343,,2007-09-28,202.982,,2007-09-28,4009.59,,2007-09-28,830.22998
2007-08-31,1473.99,,2007-08-31,684.89038,,2007-08-31,786.8092,,2007-08-31,126.837,,2007-08-31,194.461,,2007-08-31,3929.62,,2007-08-31,820.37
2007-07-31,1455.28,,2007-07-31,674.95831,,2007-07-31,778.20551,,2007-07-31,124.12,,2007-07-31,192.815,,2007-07-31,3841.24,,2007-07-31,809.19
2007-06-29,1503.35,,2007-06-29,690.66089,,2007-06-29,811.2373,,2007-06-29,128.507,,2007-06-29,195.283,,2007-06-29,4040.61,,2007-06-29,846.26001
2007-05-31,1530.62,,2007-05-31,699.96289,,2007-05-31,829.51691,,2007-05-31,132.093,,2007-05-31,197.182,,2007-05-31,4173.6,,2007-05-31,866.72998
2007-04-30,1482.37,,2007-04-30,679.87781,,2007-04-30,801.18542,,2007-04-30,128.728,,2007-04-30,189.399,,2007-04-30,4117.54,,2007-04-30,841.21002
2007-03-30,1420.86,,2007-03-30,649.81042,,2007-03-30,769.99042,,2007-03-30,124.566,,2007-03-30,179.376,,2007-03-30,4005.84,,2007-03-30,811.20001
2007-02-28,1406.82,,2007-02-28,644.45947,,2007-02-28,761.18701,,2007-02-28,122.663,,2007-02-28,176.959,,2007-02-28,3991.54,,2007-02-28,807.90997
2007-01-31,1438.24,,2007-01-31,660.39532,,2007-01-31,776.47052,,2007-01-31,125.569,,2007-01-31,180.305,,2007-01-31,3999.6,,2007-01-31,815.09998
2006-12-29,1418.3,,2006-12-29,652.54529,,2006-12-29,764.25201,,2006-12-29,121.998,,2006-12-29,176.953,,2006-12-29,3965,,2006-12-29,800.14001
2006-11-30,1400.63,,2006-11-30,650.81128,,2006-11-30,747.55261,,2006-11-30,121.011,,2006-11-30,176.875,,2006-11-30,3884.07,,2006-11-30,787.12
2006-10-31,1377.94,,2006-10-31,639.32013,,2006-10-31,736.50537,,2006-10-31,119.542,,2006-10-31,171.861,,2006-10-31,3856.45,,2006-10-31,785.72998
2006-09-29,1335.85,,2006-09-29,619.96417,,2006-09-29,713.80872,,2006-09-29,115.291,,2006-09-29,164.448,,2006-09-29,3757.73,,2006-09-29,760.54999
2006-08-31,1303.82,,2006-08-31,605.50702,,2006-08-31,696.23749,,2006-08-31,115.022,,2006-08-31,161.735,,2006-08-31,3689.92,,2006-08-31,744.34998
2006-07-31,1276.66,,2006-07-31,587.64722,,2006-07-31,687.68988,,2006-07-31,114.543,,2006-07-31,156.639,,2006-07-31,3621.48,,2006-07-31,728.27002
2006-06-30,1270.2,,2006-06-30,586.68109,,2006-06-30,681.93213,,2006-06-30,114.765,,2006-06-30,156.296,,2006-06-30,3549.69,,2006-06-30,723.14001
2006-05-31,1270.09,,2006-05-31,587.72021,,2006-05-31,680.63287,,2006-05-31,114.512,,2006-05-31,155.028,,2006-05-31,3542.58,,2006-05-31,719.53998
2006-04-28,1310.61,,2006-04-28,609.13239,,2006-04-28,699.32648,,2006-04-28,119.542,,2006-04-28,159.978,,2006-04-28,3578.22,,2006-04-28,731.54999
2006-03-31,1294.83,,2006-03-31,609.94623,,2006-03-31,681.65863,,2006-03-31,117.685,,2006-03-31,158.211,,2006-03-31,3510.36,,2006-03-31,714.95001
2006-02-28,1280.66,,2006-02-28,605.78821,,2006-02-28,671.35242,,2006-02-28,115.357,,2006-02-28,154.471,,2006-02-28,3496.36,,2006-02-28,706.81
2006-01-31,1280.09,,2006-01-31,610.07727,,2006-01-31,665.88599,,2006-01-31,117.476,,2006-01-31,155.663,,2006-01-31,3423.84,,2006-01-31,694.09003
2005-12-30,1248.29,,2005-12-30,596.51868,,2005-12-30,647.55078,,2005-12-30,111.748,,2005-12-30,151.305,,2005-12-30,3403.82,,2005-12-30,682.13
2005-11-30,1249.48,,2005-11-30,598.33661,,2005-11-30,646.80042,,2005-11-30,110.014,,2005-11-30,152.195,,2005-11-30,3404.14,,2005-11-30,679.51001
2005-10-31,1207.01,,2005-10-31,577.40118,,2005-10-31,625.427,,2005-10-31,106.699,,2005-10-31,147.208,,2005-10-31,3345.06,,2005-10-31,659.26001
2005-09-30,1228.81,,2005-09-30,587.07538,,2005-09-30,637.50092,,2005-09-30,110.194,,2005-09-30,150.196,,2005-09-30,3410,,2005-09-30,655.84003
2005-08-31,1220.33,,2005-08-31,584.3811,,2005-08-31,631.64893,,2005-08-31,105.934,,2005-08-31,149.272,,2005-08-31,3419.07,,2005-08-31,658.84003
2005-07-29,1234.18,,2005-07-29,591.90802,,2005-07-29,637.8739,,2005-07-29,104.688,,2005-07-29,151.649,,2005-07-29,3462.58,,2005-07-29,672.15997
2005-06-30,1191.33,,2005-06-30,567.71588,,2005-06-30,619.5553,,2005-06-30,100.243,,2005-06-30,145.907,,2005-06-30,3388.97,,2005-06-30,649.08002
2005-05-31,1191.5,,2005-05-31,575.7431,,2005-05-31,611.30737,,2005-05-31,98.234,,2005-05-31,147.109,,2005-05-31,3397.36,,2005-05-31,655.47998
2005-04-29,1156.85,,2005-04-29,558.88287,,2005-04-29,593.65002,,2005-04-29,95.354,,2005-04-29,142.384,,2005-04-29,3355.07,,2005-04-29,643
2005-03-31,1180.59,,2005-03-31,569.04742,,2005-03-31,607.20178,,2005-03-31,99.216,,2005-03-31,145.856,,2005-03-31,3363.82,,2005-03-31,655.40002
2005-02-28,1203.6,,2005-02-28,579.98761,,2005-02-28,619.17023,,2005-02-28,100.516,,2005-02-28,148.018,,2005-02-28,3388.61,,2005-02-28,658.12
2005-01-31,1181.27,,2005-01-31,567.52753,,2005-01-31,609.49597,,2005-01-31,94.467,,2005-01-31,142.286,,2005-01-31,3370.39,,2005-01-31,648.62
