,S&P500 ,S&P500 월간수익률,미국채10년 변화율,S&P500 VIX 변화율,신용거래 변화율,MOVE Index 변화율,실업률 변화율,기대인플레이션 10년 변화율,금가격 변화율
2011-11-30,1246.96 ,-0.51%,-0.04 ,-7.21%,-4.13%,-7.00%,-0.20,-0.02 ,1.85%
2011-10-31,1253.30 ,10.77%,0.19 ,-30.26%,6.29%,6.56%,-0.20,0.32 ,5.60%
2011-09-30,1131.42 ,-7.18%,-0.31 ,35.86%,-3.43%,2.76%,0.00,-0.32 ,-11.05%
2011-08-31,1218.89 ,-5.68%,-0.57 ,25.23%,-10.36%,11.25%,0.00,-0.36 ,12.20%
2011-07-29,1292.28 ,-2.15%,-0.36 ,52.85%,-0.20%,-1.01%,-0.10,0.05 ,8.46%
2011-06-30,1320.64 ,-1.83%,0.10 ,6.93%,-2.94%,24.34%,0.10,0.14 ,-2.31%
2011-05-31,1345.20 ,-1.35%,-0.23 ,4.75%,-1.43%,-6.90%,-0.10,-0.33 ,-1.79%
2011-04-29,1363.61 ,2.85%,-0.18 ,-16.85%,1.54%,-15.51%,0.10,0.08 ,9.18%
2011-03-31,1325.83 ,-0.10%,0.04 ,-3.32%,1.84%,0.44%,0.00,0.09 ,1.48%
2011-02-28,1327.22 ,3.20%,0.03 ,-6.04%,6.76%,-5.93%,-0.10,0.09 ,5.90%
2011-01-31,1286.12 ,2.26%,0.10 ,10.03%,4.20%,-12.86%,-0.20,0.04 ,-6.24%
2010-12-31,1257.64 ,6.53%,0.49 ,-24.60%,1.40%,8.34%,-0.50,0.17 ,2.54%
2010-11-30,1180.55 ,-0.23%,0.20 ,11.04%,1.95%,2.10%,0.40,-0.04 ,1.97%
2010-10-29,1183.26 ,3.69%,0.10 ,-10.55%,5.16%,17.27%,-0.10,0.33 ,3.89%
2010-09-30,1141.20 ,8.76%,-0.01 ,-9.02%,7.52%,-17.94%,0.00,0.27 ,4.90%
2010-08-31,1049.33 ,-4.74%,-0.40 ,10.85%,0.34%,32.61%,0.10,-0.22 ,5.62%
2010-07-30,1101.60 ,6.88%,0.00 ,-31.96%,1.62%,-12.82%,0.00,-0.08 ,-4.94%
2010-06-30,1030.71 ,-5.39%,-0.39 ,7.70%,-2.00%,-19.98%,-0.20,-0.20 ,2.14%
2010-05-28,1089.41 ,-8.20%,-0.36 ,45.44%,-9.13%,31.11%,-0.30,-0.35 ,3.16%
2010-04-30,1186.69 ,1.48%,-0.17 ,25.36%,6.39%,0.23%,0.00,0.14 ,5.91%
2010-03-31,1169.43 ,5.88%,0.21 ,-9.79%,5.36%,5.05%,0.10,0.10 ,-0.39%
2010-02-26,1104.49 ,2.85%,0.03 ,-20.80%,-1.05%,-5.91%,0.00,-0.16 ,3.37%
2010-01-29,1073.87 ,-3.70%,-0.25 ,13.56%,1.55%,-19.72%,-0.10,-0.09 ,-1.44%
2009-12-31,1115.10 ,1.78%,0.64 ,-11.55%,4.55%,24.85%,0.00,0.29 ,-7.01%
2009-11-30,1095.63 ,5.74%,-0.18 ,-20.14%,-5.43%,-24.14%,-0.10,0.10 ,12.83%
2009-10-30,1036.20 ,-1.98%,0.07 ,19.84%,4.45%,-0.26%,0.20,0.24 ,3.75%
2009-09-30,1057.08 ,3.57%,-0.09 ,-1.54%,7.56%,-12.93%,0.20,0.12 ,5.94%
2009-08-31,1020.63 ,3.36%,-0.08 ,0.35%,3.29%,-5.63%,0.10,-0.12 ,-0.29%
2009-07-31,987.48 ,7.41%,-0.05 ,-1.63%,5.34%,-14.77%,0.00,0.01 ,2.97%
2009-06-30,919.32 ,0.02%,0.07 ,-8.89%,1.28%,-1.75%,0.10,-0.07 ,-5.38%
2009-05-29,919.14 ,5.31%,0.33 ,-20.77%,3.07%,33.17%,0.40,0.37 ,10.24%
2009-04-30,872.81 ,9.39%,0.45 ,-17.31%,1.98%,5.88%,0.30,0.16 ,-3.39%
2009-03-31,797.87 ,8.54%,-0.34 ,-4.77%,2.16%,-29.59%,0.40,0.32 ,-2.44%
2009-02-27,735.09 ,-10.99%,0.16 ,3.37%,-2.61%,2.27%,0.50,-0.10 ,1.56%
2009-01-30,825.88 ,-8.57%,0.62 ,12.10%,-2.46%,-14.26%,0.50,1.01 ,5.19%
2008-12-31,903.25 ,0.78%,-0.69 ,-27.64%,-7.54%,-11.21%,0.50,-0.27 ,7.82%
2008-11-28,896.24 ,-7.48%,-1.04 ,-7.70%,-18.10%,3.28%,0.30,-0.55 ,13.01%
2008-10-31,968.75 ,-16.94%,0.14 ,52.04%,-19.72%,-0.62%,0.40,-0.68 ,-16.89%
2008-09-30,1166.36 ,-9.08%,0.00 ,90.75%,6.44%,102.43%,0.00,-0.56 ,4.79%
2008-08-29,1282.83 ,1.22%,-0.13 ,-9.98%,-5.38%,-21.79%,0.30,-0.16 ,-9.07%
2008-07-31,1267.38 ,-0.99%,-0.02 ,-4.22%,-1.04%,4.52%,0.20,-0.24 ,-1.22%
2008-06-30,1280.00 ,-8.60%,-0.10 ,34.32%,1.55%,-3.23%,0.20,0.02 ,4.39%
2008-05-30,1400.38 ,1.07%,0.33 ,-14.24%,2.80%,9.32%,0.40,0.25 ,1.02%
2008-04-30,1385.59 ,4.75%,0.32 ,-18.82%,-4.90%,-18.14%,-0.10,-0.04 ,-4.29%
2008-03-31,1322.70 ,-0.60%,-0.10 ,-3.50%,-7.34%,-6.25%,0.20,-0.12 ,-5.85%
2008-02-29,1330.63 ,-3.48%,-0.09 ,1.30%,3.14%,0.98%,-0.10,0.12 ,5.16%
2008-01-31,1378.55 ,-6.12%,-0.42 ,16.44%,2.90%,5.71%,0.00,-0.01 ,11.08%
2007-12-31,1468.36 ,-0.86%,0.08 ,-1.62%,-6.40%,10.57%,0.30,-0.03 ,6.40%
2007-11-30,1481.14 ,-4.40%,-0.53 ,23.42%,0.69%,45.82%,0.00,0.01 ,-1.66%
2007-10-31,1549.38 ,1.48%,-0.12 ,2.94%,4.98%,-13.04%,0.00,0.04 ,7.15%
2007-09-28,1526.75 ,3.58%,0.06 ,-23.01%,-0.93%,-6.58%,0.10,0.04 ,10.44%
2007-08-31,1473.99 ,1.29%,-0.21 ,-0.60%,-12.95%,15.15%,-0.10,-0.12 ,1.35%
2007-07-31,1455.28 ,-3.20%,-0.28 ,44.92%,1.95%,24.39%,0.10,0.01 ,2.26%
2007-06-29,1503.35 ,-1.78%,0.14 ,24.37%,6.84%,31.58%,0.20,0.00 ,-1.64%
2007-05-31,1530.62 ,3.25%,0.26 ,-8.23%,11.76%,-1.51%,-0.10,-0.05 ,-2.65%
2007-04-30,1482.37 ,4.33%,-0.02 ,-2.87%,7.66%,-11.93%,0.10,-0.01 ,2.21%
2007-03-30,1420.86 ,1.00%,0.08 ,-5.06%,-1.07%,-2.72%,-0.10,0.06 ,-0.83%
2007-02-28,1406.82 ,-2.18%,-0.30 ,47.98%,3.10%,13.31%,-0.10,-0.05 ,2.47%
2007-01-30,1438.24 ,1.41%,0.17 ,-9.86%,2.71%,-7.78%,0.20,0.13 ,2.59%
2006-12-29,1418.30 ,1.26%,0.24 ,5.96%,2.84%,-2.48%,-0.10,-0.01 ,-1.74%
2006-11-30,1400.63 ,1.65%,-0.14 ,-1.71%,10.16%,12.48%,0.10,0.04 ,6.82%
2006-10-31,1377.94 ,3.15%,-0.03 ,-7.35%,2.27%,-3.49%,-0.10,-0.09 ,1.39%
2006-09-29,1335.85 ,2.46%,-0.10 ,-2.68%,4.97%,5.52%,-0.20,-0.13 ,-4.62%
2006-08-31,1303.82 ,2.13%,-0.25 ,-17.66%,-2.60%,-5.68%,0.00,-0.09 ,-1.48%
2006-07-31,1276.66 ,0.51%,-0.16 ,14.30%,1.80%,-3.21%,0.10,-0.03 ,3.39%
2006-06-30,1270.20 ,0.01%,0.02 ,-20.44%,-1.61%,-2.38%,0.00,-0.06 ,-4.55%
2006-05-31,1270.09 ,-3.09%,0.06 ,41.85%,-3.60%,6.51%,-0.10,-0.01 ,-1.41%
2006-04-28,1310.61 ,1.22%,0.21 ,1.76%,2.23%,-8.16%,0.00,0.16 ,12.13%
2006-03-31,1294.83 ,1.11%,0.30 ,-7.70%,3.91%,20.65%,-0.10,-0.04 ,3.94%
2006-02-28,1280.66 ,0.04%,0.04 ,-4.71%,-2.42%,-22.85%,0.10,0.02 ,-1.29%
2006-01-31,1280.09 ,2.55%,0.12 ,7.29%,4.79%,2.23%,-0.20,0.20 ,10.04%
2005-12-30,1248.29 ,-0.10%,-0.09 ,0.08%,0.49%,-1.92%,-0.10,-0.03 ,4.85%
2005-11-30,1249.48 ,3.52%,-0.07 ,-21.28%,1.27%,-8.22%,0.00,-0.20 ,6.00%
2005-10-31,1207.01 ,-1.77%,0.23 ,28.52%,-1.96%,4.39%,0.00,0.00 ,-0.88%
2005-09-30,1228.81 ,0.69%,0.31 ,-5.40%,5.73%,-1.91%,0.10,0.19 ,7.84%
2005-08-31,1220.33 ,-1.12%,-0.27 ,8.90%,-0.94%,4.55%,-0.10,-0.01 ,1.26%
2005-07-29,1234.18 ,3.60%,0.36 ,-3.90%,4.21%,-1.06%,0.00,0.11 ,-1.31%
2005-06-30,1191.33 ,-0.01%,-0.06 ,-9.41%,2.16%,0.80%,-0.10,-0.10 ,4.37%
2005-05-31,1191.50 ,3.00%,-0.22 ,-13.19%,0.90%,-9.12%,-0.10,-0.23 ,-3.95%
2005-04-29,1156.85 ,-2.01%,-0.27 ,9.20%,-4.16%,-5.90%,0.00,-0.11 ,1.41%
2005-03-31,1180.59 ,-1.91%,0.10 ,16.06%,1.67%,-2.61%,-0.20,0.04 ,-1.68%
2005-02-28,1203.60 ,1.89%,0.25 ,-5.77%,1.38%,13.57%,0.10,0.18 ,3.09%
2005-01-31,1181.27 ,-2.53%,-0.09 ,-3.54%,1.17%,-8.44%,-0.10,-0.10 ,-3.62%
2004-12-31,1211.92 ,3.25%,-0.13 ,0.38%,3.11%,-3.31%,0.00,-0.03 ,-2.77%
2004-11-30,1173.82 ,3.86%,0.33 ,-18.62%,6.57%,-7.14%,-0.10,0.20 ,5.23%
2004-10-29,1130.20 ,1.40%,-0.09 ,21.96%,2.24%,3.83%,0.10,0.05 ,2.46%
2004-09-30,1114.58 ,0.94%,0.00 ,-12.75%,3.11%,-9.52%,0.00,0.02 ,2.05%
2004-08-31,1104.24 ,0.23%,-0.36 ,-0.20%,-0.01%,5.61%,-0.10,-0.11 ,4.81%
2004-07-30,1101.72 ,-3.43%,-0.11 ,6.83%,-3.17%,3.51%,-0.10,-0.07 ,-0.81%
2004-06-30,1140.84 ,1.80%,-0.06 ,-7.48%,0.08%,-11.51%,0.00,-0.13 ,-0.33%
2004-05-28,1120.68 ,1.21%,0.14 ,-9.83%,-2.48%,-13.67%,0.00,0.25 ,2.28%
2004-04-30,1107.31 ,-1.68%,0.67 ,2.69%,3.83%,16.06%,-0.20,0.05 ,-9.31%
2004-03-31,1126.21 ,-1.64%,-0.14 ,15.05%,0.53%,17.51%,0.20,-0.01 ,7.65%
2004-02-27,1144.94 ,1.22%,-0.16 ,-12.51%,0.54%,-22.79%,-0.10,0.06 ,-1.57%
2004-01-30,1131.13 ,1.73%,-0.12 ,-9.18%,4.39%,-0.98%,0.00,0.04 ,-3.13%
2003-12-31,1111.92 ,5.08%,-0.08 ,12.19%,-0.62%,12.39%,-0.10,-0.02 ,4.35%
2003-11-28,1058.20 ,0.71%,0.04 ,1.37%,4.08%,-11.66%,-0.20,-0.07 ,3.62%
2003-10-31,1050.71 ,5.50%,0.35 ,-29.14%,2.47%,1.77%,-0.10,0.39 ,-0.29%
2003-09-30,995.97 ,-1.19%,-0.51 ,21.95%,2.39%,-7.79%,0.00,-0.18 ,2.61%
2003-08-29,1008.01 ,1.79%,0.06 ,-4.41%,-4.14%,-21.33%,-0.10,0.16 ,5.98%
2003-07-31,990.31 ,1.62%,0.87 ,-0.15%,3.65%,55.27%,-0.10,0.28 ,2.30%
2003-06-30,974.50 ,1.13%,0.16 ,0.26%,9.47%,3.80%,0.20,0.06 ,-4.95%
2003-05-30,963.59 ,5.09%,-0.48 ,-8.20%,7.32%,11.81%,0.10,-0.06 ,7.65%
2003-04-30,916.92 ,8.10%,0.04 ,-27.24%,-0.71%,-20.36%,0.10,-0.10 ,0.33%
2003-03-31,848.18 ,0.84%,0.11 ,-1.62%,2.67%,6.39%,0.00,-0.13 ,-3.57%
2003-02-28,841.15 ,-1.70%,-0.27 ,-4.94%,-0.62%,-4.99%,0.10,0.15 ,-4.94%
2003-01-31,855.70 ,-2.74%,0.15 ,8.91%,1.39%,-10.49%,-0.20,0.26 ,5.78%
2002-12-31,879.82 ,-6.03%,-0.40 ,4.07%,-0.02%,-2.85%,0.10,-0.10 ,9.40%
2002-11-29,936.31 ,5.71%,0.32 ,-11.69%,0.60%,-5.85%,0.20,0.16 ,0.13%
2002-10-31,885.76 ,8.64%,0.30 ,-21.54%,1.87%,-7.02%,0.00,0.08 ,-1.79%
2002-09-30,815.28 ,-11.00%,-0.53 ,21.60%,-2.18%,5.84%,0.00,-0.31 ,3.45%
2002-08-30,916.07 ,0.49%,-0.33 ,1.90%,-3.31%,4.04%,-0.10,0.02 ,3.03%
2002-07-31,911.62 ,-7.90%,-0.34 ,26.10%,-6.54%,10.61%,0.00,-0.02 ,-3.47%
2002-06-28,989.81 ,-7.25%,-0.24 ,27.13%,-2.43%,14.44%,0.00,-0.26 ,-3.71%
2002-05-31,1067.14 ,-0.91%,-0.04 ,-8.81%,-0.80%,3.02%,-0.10,0.01 ,5.87%
2002-04-30,1076.92 ,-6.14%,-0.30 ,25.92%,-0.64%,-15.12%,0.20,-0.11 ,1.92%
2002-03-28,1147.39 ,3.67%,0.52 ,-19.41%,3.33%,13.59%,0.00,0.43 ,2.06%
2002-02-28,1106.73 ,-2.08%,-0.15 ,2.37%,-3.71%,-8.54%,0.00,0.05 ,4.95%
2002-01-31,1130.21 ,-1.56%,-0.07 ,-11.39%,0.27%,-16.24%,0.00,0.09 ,1.29%
2001-12-28,1148.08 ,0.76%,0.35 ,-0.17%,0.65%,-1.12%,0.20,0.16 ,1.66%
2001-11-30,1139.45 ,7.52%,0.51 ,-28.96%,4.64%,18.21%,0.20,0.10 ,-1.88%
2001-10-31,1059.78 ,1.81%,-0.35 ,5.10%,-3.52%,1.35%,0.30,-0.21 ,-4.64%
2001-09-28,1040.94 ,-8.17%,-0.24 ,28.13%,-6.72%,23.00%,0.10,-0.09 ,6.87%
2001-08-31,1133.58 ,-6.41%,-0.23 ,15.26%,-2.51%,3.43%,0.30,-0.19 ,2.91%
2001-07-31,1211.23 ,-1.08%,-0.35 ,13.43%,-3.29%,-5.64%,0.10,-0.24 ,-1.55%
2001-06-29,1224.42 ,-2.50%,0.03 ,-15.81%,-1.89%,-8.43%,0.20,-0.15 ,1.88%
2001-05-31,1255.82 ,0.51%,0.04 ,-11.15%,3.94%,-2.97%,-0.10,0.09 ,0.68%
2001-04-30,1249.46 ,7.68%,0.43 ,-11.03%,0.74%,-2.54%,0.10,0.40 ,2.36%
2001-03-30,1160.33 ,-6.42%,0.01 ,1.02%,-12.11%,0.70%,0.10,0.07 ,-3.44%
2001-02-28,1239.94 ,-9.23%,-0.22 ,28.75%,-4.70%,7.52%,0.00,-0.05 ,0.49%
2001-01-31,1366.01 ,3.46%,0.02 ,-17.99%,-0.81%,-1.80%,0.30,0.23 ,-2.35%
2000-12-29,1320.28 ,0.41%,-0.37 ,-9.44%,-11.57%,14.12%,0.00,-0.29 ,0.67%
2000-11-30,1314.95 ,-8.01%,-0.28 ,25.48%,-5.20%,5.52%,0.00,-0.23 ,2.00%
2000-10-31,1429.40 ,-0.49%,-0.05 ,14.88%,-7.12%,5.20%,0.00,0.07 ,-3.32%
2000-09-29,1436.51 ,-5.35%,0.08 ,22.15%,1.90%,4.11%,-0.20,0.10 ,-1.30%
2000-08-31,1517.68 ,6.07%,-0.32 ,-18.80%,0.54%,-8.62%,0.10,-0.29 ,0.22%
2000-07-31,1430.83 ,-1.63%,0.02 ,6.14%,-0.28%,-9.92%,0.00,0.05 ,-4.24%
2000-06-30,1454.60 ,2.39%,-0.25 ,-17.38%,2.96%,-6.29%,0.00,-0.14 ,6.41%
2000-05-31,1420.60 ,-2.19%,0.05 ,-9.73%,-4.41%,-0.70%,0.20,-0.14 ,-0.53%
2000-04-28,1452.43 ,-3.08%,0.20 ,8.67%,-10.41%,-2.46%,-0.20,0.24 ,-1.98%
2000-03-31,1498.58 ,9.67%,-0.40 ,3.17%,5.53%,-0.18%,-0.10,-0.12 ,-4.49%
2000-02-29,1366.42 ,-2.01%,-0.25 ,-6.33%,9.14%,0.36%,0.10,-0.24 ,3.07%
2000-01-31,1394.46 ,-5.09%,0.23 ,1.26%,7.62%,7.45%,0.00,0.25 ,-1.56%
1999-12-31,1469.25 ,5.78%,0.26 ,1.90%,10.84%,19.66%,-0.10,0.07 ,-0.93%
1999-11-30,1388.91 ,1.91%,0.16 ,8.92%,12.38%,-12.22%,0.00,0.13 ,-2.84%
1999-10-29,1362.93 ,6.25%,0.15 ,-12.63%,2.38%,-9.99%,-0.10,0.11 ,0.15%
1999-09-30,1282.71 ,-2.86%,-0.10 ,3.93%,1.13%,-4.13%,0.00,-0.11 ,16.85%
1999-08-31,1320.41 ,-0.63%,0.07 ,-0.77%,-1.00%,1.99%,-0.10,0.05 ,-0.11%
1999-07-30,1328.72 ,-3.20%,0.12 ,16.83%,0.96%,4.82%,0.00,0.10 ,-2.50%
1999-06-30,1372.71 ,5.44%,0.16 ,-16.94%,-1.19%,-2.61%,0.10,0.02 ,-2.90%
1999-05-28,1301.84 ,-2.50%,0.28 ,1.28%,3.05%,23.49%,-0.10,0.28 ,-5.65%
1999-04-30,1335.18 ,3.79%,0.11 ,7.78%,10.90%,-0.38%,0.10,0.15 ,2.32%
1999-03-31,1286.37 ,3.88%,-0.06 ,-16.57%,2.03%,-16.04%,-0.20,-0.09 ,-2.44%
1999-02-26,1238.33 ,-3.23%,0.64 ,6.21%,0.36%,16.38%,0.10,0.53 ,0.31%
1999-01-29,1279.64 ,4.10%,-0.01 ,7.49%,9.18%,-28.04%,-0.10,0.08 ,-0.73%
1998-12-31,1229.23 ,5.64%,-0.06 ,-6.11%,-0.02%,38.88%,0.00,-0.18 ,-1.69%
1998-11-30,1163.63 ,5.91%,0.12 ,-7.27%,7.44%,-27.95%,-0.10,0.00 ,0.22%
1998-10-30,1098.67 ,8.03%,0.20 ,-31.50%,-4.25%,-2.54%,-0.10,0.13 ,-1.48%
1998-09-30,1017.01 ,6.24%,-0.55 ,-7.52%,-7.27%,15.82%,0.10,-0.32 ,7.77%
1998-08-31,957.28 ,-14.58%,-0.53 ,78.55%,-3.17%,85.27%,0.00,1.18 ,-3.81%
1998-07-31,1120.67 ,-1.16%,0.04 ,25.82%,4.29%,-23.73%,0.00,0.00 ,-3.54%
1998-06-30,1133.84 ,3.94%,-0.10 ,-7.55%,2.70%,2.21%,0.10,0.00 ,1.37%
1998-05-29,1090.82 ,-1.88%,-0.12 ,0.66%,2.53%,-7.12%,0.10,0.00 ,-4.47%
